name,typical_majors,all_eligible_classifications,typical_classifications,eligible_races,eligible_gender,eligible_sexuality,meeting_frequency,meeting_times,meeting_locations,dues_required,dues_cost,application_required,application_difficulty,time_commitment,member_count,club_type,competitive_or_non_competitive,leadership_roles_available,new_member_onboarding_process,typical_activities,required_skills,offered_skills_or_benefits,club_culture_style,inclusivity_focus,expected_member_traits,administrative_contact_info,website,national_local_affiliation,bio
tidalTAMU,"Computer Science, Engineering",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Academic,No,Yes,,Projects,,"Networking, Technical skills",Academic-focused,,Interest-driven,tidaltamu@gmail.com,https://tidaltamu.com,No,"The Tethered Informatics and Data Analytics Lab at Texas A&M University (tidaltamu) believes in accelerating discovery, innovation, and exploration in industry, research, and academia. tidaltamu aims to solve problems with an interdisciplinary approach, utilizing methods from computer science and statistics to aid in problem solving in materials science, aerospace engineering, mechanical engineering, etc."
Texas A & M Water Network,,,"Junior, Senior",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Networking, Educational trips, Social events",,"Networking, Mentorship",Social,,Interest-driven,aggiewaternetwork@gmail.com,,Yes,"The Texas A&M Water Network is a chapter of the Texas section of the American Water Works Association, dedicated to building an on-campus network of students and water professionals from different disciplines who share a passion for water."
Texas A&M ACM SIGGRAPH Student Chapter,"Computer Science, Engineering",,"Junior, Senior",,,,,,,,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events",,"Networking, Technical skills",Social,,Interest-driven,tamuacmsiggraphchapter@gmail.com,http://tamu.siggraph.org,,"As the Texas A&M University ACM SIGGRAPH student chapter, we strive to promote an increased knowledge of and greater interest in the educational, artistic, and scientific aspects and applications of modern computing in computer graphics; and to provide a means of communication between persons interested in computer graphics and/or digital arts."
Texas A&M Agronomy Society,,,"Junior, Senior",,,,,,,,,No,Low,Medium,20-50,Academic,No,Yes,,Volunteering,,Leadership development,Social,,Interest-driven,aggieagronomysociety@gmail.com,https://getinvolved.tamu.edu/org/agronsoc,,"Our mission is to increase and disseminate knowledge concerning soils and crops and the conditions affecting them, as well as the effects of agriculture on the environment, to foster a spirit of cooperation and mutual helpfulness among students in Agronomy, Soils and Environmental Sciences, and to provide an opportunity for a broader acquaintance with agronomic workers and research activities within the field of Soil, Crop and Environmental Sciences."
Texas A&M Amateur Radio Club,,,All majors welcome,,,,,,,No,,No,Low,Medium,20-50,Other,No,Yes,,"Competitions, Volunteering",,Technical skills,Social,,Interest-driven,clubofficers.w5ac@gmail.com,http://w5ac.tamu.edu,No,To encourage and support amateur radio communication in the Texas A&M community. We offer a unique opportunity to develop skills in both the theory and practice of two-way radio communication and the technology that undergirds it.
Texas A&M American Society of Safety Professionals,,,"Junior, Senior",,,,,,,,,No,Low,Medium,20-50,Professional,No,Yes,,Volunteering,,"Networking, Mentorship",Professional,,Interest-driven,apickens@tamu.edu,https://sites.google.com/tamu.edu/s-assp/home,Yes,"The student chapter of the American Society of Safety Professionals (ASSP) at Texas A&M University fosters a relationship with the Central Texas Chapter of ASSP, increases safety awareness, commits to community services, and provides career development opportunities for future safety professionals."
Texas A&M Anthropological Society,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Social,No,Yes,,"Volunteering, Lectures",,Networking,Social,,Interest-driven,,,,"To bring together students interested in anthropology and to meet professors of anthropology, fieldwork opportunities, volunteer work, experimental archaeology, and lectures available to these students."
Texas A&M Ballroom Dance Association,,,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Social,Yes,Yes,,"Social events, Competitions",,Networking,Social,,Interest-driven,tamuballroomdance@gmail.com,http://www.tamuballroom.org/home,,"The Texas A&M Ballroom Dance Association provides an opportunity for students to learn and enjoy ballroom dancing. TAMBDA offers weekly lessons taught by a professional dance instructor, practices, and socials every year."
Texas A&M Bass Fishing Team,,,"Junior, Senior",,,,,,,,,No,Low,High,50-100,Sports,Yes,Yes,,"Competitions, Trips",,Networking,Very active,,High commitment,texasambassfishingteam@gmail.com,http://anglers.tamu.edu,No,"The Texas A&M Bass Fishing Team is a non-profit organization affiliated with Texas A&M University. We tour the nation following the Bassmaster College Series, Major League Fishing (MLF), Texas Bass Nation, and the Association of Collegiate Anglers."
Texas A&M Bike Bunch,,,Undergraduate,,,,,,,,,No,Low,Low,0-20,Social,No,Yes,,Social events,,Networking,Social,,Casual,tamubikeheads@gmail.com,,,"The mission of the Texas A&M Bike Heads is to promote fun, social, and casual bicycle riding and fellowship while teaching members the basics of bicycle maintenance."
Texas A&M Biochemistry and Genetics Society,"Biology, Pre-Med, Health Sciences",,"Junior, Senior",,,,,,,,,No,Low,Medium,20-50,Academic,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,bgs.tamu@gmail.com,https://bgstamu.wixsite.com/bgstamu,,To promote interest and knowledge in the fields of genetics and biochemistry. To provide student-student and student-faculty interaction. To provide insight into career opportunities available after graduation with a degree in genetics and biochemistry.
Texas A&M Bioethics Forum,,,"Junior, Senior",,,,,,,No,,No,Low,Medium,20-50,Academic,No,Yes,,Discussions,,Networking,Academic-focused,,Interest-driven,tamubioethicsforum@gmail.com,https://sites.google.com/d/1AsH3_PCevLZMORMy6YM79TApRJ3jf1i7/p/1PZ-f_9qgPWYVhaUGMgpbS_4Afu7ULgsG/edit,No,"The Texas A&M Bioethics Forum encourages discussion among undergraduate students on scientific issues and their ethical dilemmas, promoting critical thinking and awareness throughout Texas A&M University."
Texas A&M BodyBuilding,,,All majors welcome,,,,,,,,,No,Low,High,20-50,Sports,Yes,Yes,,"Social events, Competitions",,"Networking, Leadership development",Very active,,Interest-driven,tamu.bodybuilding23@gmail.com,,,"The Texas A&M Bodybuilding Team unites a community of driven individuals who share a passion for the sport of bodybuilding and the pursuit of personal excellence. We host weekly meetings, team workouts, social gatherings, and posing clinics to foster camaraderie and support."
Texas A&M Bowling Club,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Social,Yes,Yes,,Competitions,,Networking,Social,,Interest-driven,bowling.tamu.edu@gmail.com,,,The Bowling Club is here to establish a social organization in which the members meet to further their experience and knowledge of bowling and its concepts. Our goal is to create a pool of interest in bowling through the practical enjoyment of the sport on a University wide basis.
Texas A&M Chapter of Citizens' Climate Lobby,,,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Service,No,Yes,,Projects,,Networking,Social,,Interest-driven,ccltexasam@gmail.com,,,The Texas A&M Chapter of Citizens' Climate Lobby is a student-led climate conscious organization that exists to create the political will for climate change solutions by emphasizing nonpartisan science based policy in friendly conversations.
Texas A&M Chapter of National Association of Black Accountants,"Business, Finance, Accounting",,"Junior, Senior","Black, African American",,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Mentorship",Professional,,Interest-driven,tamunaba76@gmail.com,https://nabainc.org,Yes,"To expose general business students to the opportunities of a career in accounting and finance. To provide opportunities for members to fulfill civic responsibilities; to promote confidence in our members abilities, allowing them to showcase these abilities to potential employers."
"The Texas A&M Chapter of The Coasts, Oceans, Ports, and Rivers Institute",Engineering,,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,Projects,,"Networking, Mentorship",Professional,,Interest-driven,,,,"The Texas A&M Chapter of The Coasts, Oceans, Ports, and Rivers Institute serves as a leader in improving knowledge, education, development, and the practice of civil engineering and other disciplines in the coastal, ocean, port, waterways, riverine, and wetlands environment."
Texas A&M Cheer Squad,,,Undergraduate,,,,,,,Yes,,Yes,High,High,20-50,Sports,Yes,Yes,,Competitions,Tryout,Networking,Very active,,High commitment,tamucheersquad@gmail.com,https://tamucheersquad.wixsite.com/tamucheer,,The purpose of the organization is to provide participants with the opportunity to compete in the Collegiate Division of competitive cheerleading events.
Texas A&M Chess Club,,,All majors welcome,,,,,,,,,No,Low,Medium,20-50,Social,Yes,Yes,,"Social events, Competitions",,Networking,Social,,Interest-driven,tamuchess@gmail.com,,,"The official chess club at Texas A&M. We have casual play, club tournaments, and social events. Some members compete in the Collegiate Chess League or local USCF tournaments."
Texas A&M China Hong Dance Society,,,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Cultural,No,Yes,Open,"Workshops, Social events",,"Networking, Leadership development",Social,,Interest-driven,chinahongdancesociety@gmail.com,,,The Texas A&M China Hong Dance Society is a non-profit organization founded by students who are passionate to promote Chinese culture and dance. The mission of the China Hong Dance Society is to promote Chinese dance and flourish Chinese culture in the University and local community.
Texas A&M Chinese Student Association,,,Undergraduate,"Asian, Chinese",,,,,,,,No,Low,Low,20-50,Cultural,No,Yes,,Social events,,Networking,Social,,Interest-driven,tamu.csa1963@gmail.com,https://www.csatamu.org,,The objective of this organization shall be to unite and assist all students at Texas A&M University who are interested in learning about the Chinese culture and to promote a better understanding between those of Chinese descent and those from different ethnic backgrounds.
Texas A&M Chiropractic Society,,,"Junior, Senior",,,,,,,,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events",,"Networking, Mentorship",Social,,Interest-driven,tamuchiropracticsociety@gmail.com,,,"Our mission is to educate students about the career and philosophy of Chiropractic by introducing them to the requirements, the schools available, and the diversity of the career options, while acquainting them with the holistic values of the profession."
Texas A&M Class of 2029,,Undergraduate,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Social,No,Yes,,Social events,,Networking,Social,,Interest-driven,,https://classcouncils.tamu.edu/classof2025/,No,"To promote Aggie Class of 2029 unity, put on Class events and traditions, and raise money towards the Class Gift Fund."
Texas A&M Class of 2027,,Undergraduate,Undergraduate,,,,,,,,,No,Low,Low,20-50,Social,No,Yes,,Social events,,Networking,Social,,Casual,classof2027@aggienetwork.com,http://classcouncils.tamu.edu,No,"To promote Aggie Class of 2027 unity, build Class community, host Class events and traditions, raise money towards the Class Gift Fund, and represent the Class of 2027."
Texas A&M Class of 2028,,Undergraduate,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Social,No,Yes,,Social events,,Leadership development,Social,,Interest-driven,classof2028@aggienetwork.com,https://classcouncils.tamu.edu/classof24/,No,"We exist to lead and represent the Fightin' Texas Aggie Class of 2028! We host class events and traditions, and manage and fundraise for the class gift fund so we can give back to Texas A&M."
